数学,08,10,00,08,50,00
历史,09,05,00,09,45,00
英语,10,05,00,10,45,00
语文,11,00,00,11,40,00
数学,14,10,00,14,50,00
物理,15,05,00,15,45,00
政治,16,00,00,16,40,00
